freq,mag(Zin2)
2445000000.0000000000,19.0068192845
2450000000.0000000000,18.9293542752
2455000000.0000000000,18.8519102465
2460000000.0000000000,18.7744871073
2465000000.0000000000,18.6971808658
2469999999.9999995232,18.6208525942
2475000000.0000000000,18.5445442824
2480000000.0000000000,18.4682558428
2485000000.0000004768,18.3919871877
2490000000.0000000000,18.3158410170
2495000000.0000000000,18.2406151077
2500000000.0000000000,18.1654081027
2505000000.0000000000,18.0902199176
2510000000.0000000000,18.0150504685
2514999999.9999995232,17.9400125518
2520000000.0000000000,17.8658719200
2525000000.0000000000,17.7917491959
2530000000.0000004768,17.7176442986
2535000000.0000000000,17.6435571474
2540000000.0000000000,17.5696072897
2545000000.0000000000,17.4965120969
2550000000.0000000000,17.4234338472
2555000000.0000000000,17.3503724628
2560000000.0000000000,17.2773278660
2565000000.0000000000,17.2044274241
2570000000.0000000000,17.1323515991
2575000000.0000000000,17.0602918203
2580000000.0000000000,16.9882480131
2585000000.0000000000,16.9162201026
2590000000.0000000000,16.8443417794
2594999999.9999995232,16.7732514302
2600000000.0000000000,16.7021762744
2605000000.0000000000,16.6311162397
2610000000.0000004768,16.5600712542
2615000000.0000000000,16.4891825612
2620000000.0000000000,16.4190570892
2625000000.0000000000,16.3489459984
2630000000.0000000000,16.2788492193
2635000000.0000000000,16.2087666826
2639999999.9999995232,16.1388442230
2645000000.0000000000,16.0696479670
2650000000.0000000000,16.0004653116
2655000000.0000004768,15.9312961899
2660000000.0000000000,15.8621405348
2665000000.0000000000,15.7931506665
2670000000.0000000000,15.7248624940
2675000000.0000000000,15.6565871877
2680000000.0000000000,15.5883246830
2685000000.0000000000,15.5200749153
2690000000.0000000000,15.4519940128
2695000000.0000000000,15.3845802753
2700000000.0000000000,15.3171787144
2705000000.0000000000,15.2497892678
2710000000.0000000000,15.1824118731
2715000000.0000000000,15.1152097965
2719999999.9999995232,15.0486575129
2725000000.0000000000,14.9821167294
2730000000.0000000000,14.9155873859
2735000000.0000004768,14.8490694221
2740000000.0000000000,14.7827271755
2745000000.0000000000,14.7169962330
2750000000.0000000000,14.6512761663
2755000000.0000000000,14.5855669170
2760000000.0000000000,14.5198684271
2764999999.9999995232,14.4543539339
2770000000.0000000000,14.3894427120
2775000000.0000000000,14.3245417630
2780000000.0000004768,14.2596510305
2785000000.0000000000,14.1947704584
2790000000.0000000000,14.1300718719
2795000000.0000000000,14.0659352807
2800000000.0000000000,14.0018083786
2805000000.0000000000,13.9376911112
2810000000.0000000000,13.8735834241
2815000000.0000000000,13.8096657157
2820000000.0000000000,13.7463021508
2825000000.0000000000,13.6829477350
2830000000.0000000000,13.6196024155
2835000000.0000000000,13.5562661396
2840000000.0000000000,13.4931222430
2844999999.9999995232,13.4305090693
2850000000.0000000000,13.3679045180
2855000000.0000000000,13.3053085379
2860000000.0000004768,13.2427210779
2865000000.0000000000,13.1803239448
2870000000.0000000000,13.1184237873
2875000000.0000000000,13.0565317599
2880000000.0000000000,12.9946478132
2885000000.0000000000,12.9327718977
2889999999.9999995232,12.8710928403
2895000000.0000000000,12.8099010411
2900000000.0000000000,12.7487168917
2905000000.0000004768,12.6875403442
2910000000.0000000000,12.6263713507
2915000000.0000000000,12.5654024781
2920000000.0000000000,12.5049039096
2925000000.0000000000,12.4444125395
2930000000.0000000000,12.3839283213
2935000000.0000000000,12.3234512086
2940000000.0000000000,12.2631756956
2945000000.0000000000,12.2033503602
2950000000.0000000000,12.1435317886
2955000000.0000000000,12.0837199355
2960000000.0000000000,12.0239147560
2965000000.0000000000,11.9643090708
2969999999.9999995232,11.9051269228
2975000000.0000000000,11.8459511177
2980000000.0000000000,11.7867816118
2985000000.0000004768,11.7276183613
2990000000.0000000000,11.6686598465
2995000000.0000000000,11.6101152291
3000000000.0000000000,11.5515765686
3005000000.0000000000,11.4930438225
3010000000.0000000000,11.4345169484
3014999999.9999995232,11.3761982537
3020000000.0000000000,11.3182801336
3025000000.0000000000,11.2603675836
3030000000.0000004768,11.2024605626
3035000000.0000000000,11.1445590294
3040000000.0000000000,11.0868605887
3045000000.0000000000,11.0295345048
3050000000.0000000000,10.9722136303
3055000000.0000000000,10.9148979250
3060000000.0000000000,10.8575873491
3065000000.0000000000,10.8004903856
3070000000.0000000000,10.7437671579
3075000000.0000000000,10.6870487983
3080000000.0000000000,10.6303352679
3085000000.0000000000,10.5736265281
3090000000.0000000000,10.5171225576
3094999999.9999995232,10.4609602949
3100000000.0000000000,10.4048025739
3105000000.0000000000,10.3486493568
3110000000.0000004768,10.2925006061
3115000000.0000000000,10.2365667388
3120000000.0000000000,10.1809750584
3125000000.0000000000,10.1253875965
3130000000.0000000000,10.0698043165
3135000000.0000000000,10.0142251819
3139999999.9999995232,9.9588536698
3145000000.0000000000,9.9037978614
3150000000.0000000000,9.8487459759
3155000000.0000004768,9.7936979781
3160000000.0000000000,9.7386538326
3165000000.0000000000,9.6838246460
3170000000.0000000000,9.6293078160
3175000000.0000000000,9.5747946177
3180000000.0000000000,9.5202850168
3185000000.0000000000,9.4657789790
3190000000.0000000000,9.4114882957
3195000000.0000000000,9.3574964523
3200000000.0000000000,9.3035079651
3204999999.9999995232,9.2495228011
3210000000.0000000000,9.1955409269
3215000000.0000000000,9.1417712695
3220000000.0000000000,9.0882831216
3225000000.0000000000,9.0347980706
3229999999.9999995232,8.9813160846
3235000000.0000004768,8.9278371313
3240000000.0000000000,8.8745732781
3245000000.0000000000,8.8215822748
3250000000.0000000000,8.7685941211
3255000000.0000000000,8.7156087859
3260000000.0000000000,8.6626262385
3264999999.9999995232,8.6098578006
3270000000.0000004768,8.5573490958
3275000000.0000000000,8.5048429991
3280000000.0000000000,8.4523394807
3285000000.0000000000,8.3998385109
3290000000.0000000000,8.3475518038
3295000000.0000004768,8.2955137123
3300000000.0000000000,8.2434780082
3304999999.9999995232,8.1914446629
3310000000.0000000000,8.1394136478
3315000000.0000000000,8.0876021176
3320000000.0000004768,8.0360340108
3325000000.0000000000,7.9844680782
3329999999.9999995232,7.9329042923
3335000000.0000000000,7.8813426258
3340000000.0000000000,7.8299926686
3345000000.0000000000,7.7788673086
3350000000.0000000000,7.7277439187
3354999999.9999995232,7.6766224728
3360000000.0000004768,7.6255029450
3365000000.0000000000,7.5746001979
3370000000.0000000000,7.5239174539
3375000000.0000000000,7.4732364936
3380000000.0000000000,7.4225572922
3385000000.0000000000,7.3718798250
3389999999.9999995232,7.3214188498
3395000000.0000004768,7.2711678695
3400000000.0000000000,7.2209184969
3405000000.0000000000,7.1706707088
3410000000.0000000000,7.1204244819
3415000000.0000000000,7.0703950194
3420000000.0000004768,7.0205666646
3425000000.0000000000,6.9707397568
3429999999.9999995232,6.9209142744
3435000000.0000000000,6.8710901959
3440000000.0000000000,6.8214815136
3445000000.0000004768,6.7720639428
3450000000.0000000000,6.7226476668
3454999999.9999995232,6.6732326659
3460000000.0000000000,6.6238189204
3465000000.0000000000,6.5746199273
3470000000.0000000000,6.5256031295
3475000000.0000000000,6.4765874926
3479999999.9999995232,6.4275729989
3485000000.0000004768,6.3785596308
3490000000.0000000000,6.3297653293
3495000000.0000000000,6.2811485583
3500000000.0000000000,6.2325328294
3505000000.0000000000,6.1839181272
3510000000.0000000000,6.1353044364
3514999999.9999995232,6.0869060705
3520000000.0000004768,6.0386744850
3525000000.0000000000,5.9904438389
3530000000.0000000000,5.9422141194
3535000000.0000000000,5.8939853140
3540000000.0000000000,5.8459728641
3545000000.0000004768,5.7981205338
3550000000.0000000000,5.7502690599
3554999999.9999995232,5.7024184328
3560000000.0000000000,5.6545686434
3565000000.0000000000,5.6069304330
3570000000.0000004768,5.5594417954
3575000000.0000000000,5.5119539505
3579999999.9999995232,5.4644668924
3585000000.0000000000,5.4169806156
3590000000.0000000000,5.3697144731
3595000000.0000000000,5.3225969236
3600000000.0000000000,5.2754801330
3604999999.9999995232,5.2283641000
3610000000.0000004768,5.1812488240
3615000000.0000000000,5.1343439944
3620000000.0000000000,5.0875746539
3625000000.0000000000,5.0408060619
3630000000.0000000000,4.9940382224
3635000000.0000000000,4.9472711401
3639999999.9999995232,4.9007149691
3645000000.0000004768,4.8542883626
3650000000.0000000000,4.8078625282
3655000000.0000000000,4.7614374764
3660000000.0000000000,4.7150132190
3665000000.0000000000,4.6688079319
3670000000.0000004768,4.6227309391
3675000000.0000000000,4.5766547896
3679999999.9999995232,4.5305795023
3685000000.0000000000,4.4845050982
3690000000.0000000000,4.4386465722
3695000000.0000004768,4.3929085418
3700000000.0000000000,4.3471714720
3704999999.9999995232,4.3014353922
3710000000.0000000000,4.2557003342
3715000000.0000000000,4.2101763786
3720000000.0000000000,4.1647647536
3725000000.0000000000,4.1193542790
3729999999.9999995232,4.0739449983
3735000000.0000004768,4.0285369578
3740000000.0000000000,3.9833463192
3745000000.0000000000,3.9382658964
3750000000.0000000000,3.8931868787
3755000000.0000000000,3.8481093267
3760000000.0000000000,3.8030333047
3764999999.9999995232,3.7581710749
3770000000.0000004768,3.7134121454
3775000000.0000000000,3.6686549892
3780000000.0000000000,3.6238996899
3785000000.0000000000,3.5791463366
3790000000.0000000000,3.5346007862
3795000000.0000004768,3.4901509756
3800000000.0000000000,3.4457034462
3804999999.9999995232,3.4012583131
3810000000.0000000000,3.3568156983
3815000000.0000000000,3.3125924282
3820000000.0000004768,3.2684653797
3825000000.0000000000,3.2243413056
3829999999.9999995232,3.1802203635
3835000000.0000000000,3.1361027208
3840000000.0000000000,3.0921974266
3845000000.0000000000,3.0483811394
3850000000.0000000000,3.0045687532
3854999999.9999995232,2.9607604839
3860000000.0000004768,2.9169565614
3865000000.0000000000,2.8733604235
3870000000.0000000000,2.8298477464
3875000000.0000000000,2.7863402710
3880000000.0000000000,2.7428382980
3885000000.0000000000,2.6993421487
3889999999.9999995232,2.6560725396
3895000000.0000004768,2.6128899375
3900000000.0000000000,2.5697143054
3905000000.0000000000,2.5265460651
3910000000.0000000000,2.4833856689
3915000000.0000000000,2.4404394876
3920000000.0000004768,2.3975731249
3925000000.0000000000,2.3547162332
3929999999.9999995232,2.3118694173
3935000000.0000000000,2.2690333285
3940000000.0000000000,2.2264162282
3945000000.0000004768,2.1838787277
3950000000.0000000000,2.1413543023
3954999999.9999995232,2.0988438401
3960000000.0000000000,2.0563483039
3965000000.0000000000,2.0140780352
3970000000.0000000000,1.9718888537
3975000000.0000000000,1.9297181484
3979999999.9999995232,1.8875672703
3985000000.0000004768,1.8454376942
3990000000.0000000000,1.8035333232
3995000000.0000000000,1.7617114996
4000000000.0000000000,1.7199163001
4005000000.0000000000,1.6781498492
4010000000.0000000000,1.6364144881
4014999999.9999995232,1.5949269388
4020000000.0000004768,1.5535333927
4025000000.0000004768,1.5121797016
4029999999.9999995232,1.4708693909
4035000000.0000000000,1.4296063918
4040000000.0000000000,1.3886062327
4045000000.0000000000,1.3477153728
4050000000.0000000000,1.3068865150
4054999999.9999995232,1.2661258580
4060000000.0000004768,1.2254404166
4064999999.9999995232,1.1850374163
4070000000.0000004768,1.1447730015
4075000000.0000000000,1.1046111178
4080000000.0000000000,1.0645636205
4085000000.0000000000,1.0246441849
4090000000.0000000000,0.9850755813
4095000000.0000004768,0.9457136031
4099999999.9999995232,0.9065349297
4104999999.9999995232,0.8675647176
4110000000.0000004768,0.8288327113
4115000000.0000000000,0.7905799744
4120000000.0000000000,0.7526823853
4125000000.0000000000,0.7151491416
4130000000.0000000000,0.6780411802
4135000000.0000000000,0.6414327715
4139999999.9999995232,0.6056124703
4145000000.0000004768,0.5705273658
4150000000.0000004768,0.5362786814
4154999999.9999995232,0.5030378861
4160000000.0000000000,0.4710190600
4165000000.0000000000,0.4406781471
4170000000.0000000000,0.4121746166
4175000000.0000000000,0.3858767857
4179999999.9999995232,0.3622661880
4185000000.0000004768,0.3419009130
4189999999.9999995232,0.3254989014
4195000000.0000004768,0.3135375281
4200000000.0000000000,0.3065169701
