freq,phase(Zin2)
2130000000.0000000000,-89.5027497592
2135000000.0000002384,-89.5003069884
2139999999.9999997616,-89.4979425104
2145000000.0000000000,-89.4952553586
2150000000.0000000000,-89.4926190539
2155000000.0000004768,-89.4900574956
2160000000.0000000000,-89.4875713705
2165000000.0000000000,-89.4851613773
2170000000.0000000000,-89.4823981988
2175000000.0000000000,-89.4796873771
2180000000.0000000000,-89.4770491504
2185000000.0000000000,-89.4744841925
2190000000.0000000000,-89.4719931889
2195000000.0000000000,-89.4691842801
2200000000.0000000000,-89.4664322125
2205000000.0000000000,-89.4637507793
2210000000.0000000000,-89.4611406435
2215000000.0000000000,-89.4586024792
2219999999.9999995232,-89.4557052605
2225000000.0000000000,-89.4528665929
2230000000.0000000000,-89.4500964070
2235000000.0000004768,-89.4473953514
2240000000.0000000000,-89.4447640861
2245000000.0000000000,-89.4417914105
2250000000.0000000000,-89.4388804924
2255000000.0000000000,-89.4360360922
2260000000.0000000000,-89.4332588464
2264999999.9999995232,-89.4305489463
2270000000.0000000000,-89.4275253229
2275000000.0000000000,-89.4245658449
2280000000.0000004768,-89.4216711285
2285000000.0000000000,-89.4188418002
2290000000.0000000000,-89.4160731860
2295000000.0000000000,-89.4129455769
2300000000.0000000000,-89.4098800109
2305000000.0000000000,-89.4068770894
2310000000.0000000000,-89.4039374240
2315000000.0000000000,-89.4010533000
2320000000.0000000000,-89.3978893822
2325000000.0000000000,-89.3947859937
2330000000.0000000000,-89.3917437281
2335000000.0000000000,-89.3887631891
2340000000.0000000000,-89.3858302589
2344999999.9999995232,-89.3825514798
2350000000.0000000000,-89.3793311588
2355000000.0000000000,-89.3761698743
2360000000.0000004768,-89.3730682146
2365000000.0000000000,-89.3700104515
2370000000.0000000000,-89.3666740598
2375000000.0000000000,-89.3633945020
2380000000.0000000000,-89.3601723465
2385000000.0000000000,-89.3570081718
2389999999.9999995232,-89.3538797965
2395000000.0000000000,-89.3504355494
2400000000.0000000000,-89.3470463031
2405000000.0000004768,-89.3437126134
2410000000.0000000000,-89.3404350456
2415000000.0000000000,-89.3371913116
